gene,log2FC,pvalue
203305_at,-1.7201137133461204,2.1766228043078004e-07
203325_s_at,-1.4682506385311047,7.753213399832616e-10
203343_at,-1.9630711647026597,6.508629896779845e-17
203355_s_at,-1.2807944039462882,0.0018378556316280168
203358_s_at,1.679117555494658,2.860378438624278e-11
203362_s_at,2.1125162126610046,2.7576515315406858e-14
203372_s_at,-1.0884316004384762,0.0009750031935543501
203373_at,-1.3766018498218697,0.00016066211560468173
203384_s_at,-1.4347231159221705,8.544615447229262e-13
203390_s_at,1.0730338668128256,2.661296519924028e-07
203400_s_at,1.8972880679638262,2.4556594034307136e-06
203401_at,1.0145120197314323,9.751032909834911e-11
203405_at,1.321755859139488,1.2289541891593495e-11
203413_at,-1.1352275472732263,0.022132863564585676
203418_at,3.2973237626747056,3.454417121050578e-21
203422_at,1.418584488901069,5.49791907821114e-20
203428_s_at,1.33735911482598,2.8460011344553796e-12
203431_s_at,-2.156478306385311,1.4989747734805357e-15
203432_at,1.117215809810908,2.9700117343087245e-09
203438_at,-1.1975231679912302,0.015373021520321505
203439_s_at,-1.6084527185530284,0.00022897037089819028
203453_at,-3.9156441134557403,1.4447933509938324e-16
