gene,log2FC,pvalue
1556601_a_at,-1.0745368402302002,1.2631986579030529e-06
1556602_at,-1.4812613181693601,4.4583649584831444e-10
1556613_s_at,1.1891408988764045,5.632261953685823e-10
1556654_at,-2.221516722389696,8.89821940895762e-08
1556655_s_at,-1.7508619265552197,7.152216570058528e-07
1556656_at,1.098495313784599,2.209128525629457e-12
1556665_at,-1.7977406166072893,3.6615319450301567e-09
1556666_a_at,-2.051647626747054,8.245076346877536e-09
1556938_a_at,-1.0242130474102495,4.334821107654553e-06
1556982_at,-1.1383336201699104,1.0847644791760791e-08
1557080_s_at,-1.6876029131268844,9.017466888908141e-08
1557121_s_at,-1.3631668018635246,1.1365796540313676e-08
1557155_a_at,3.3333771827898047,2.3100159904342293e-20
1557285_at,-1.523305513839409,5.823386917666802e-05
1557383_a_at,-1.1500032529460125,4.473991036502951e-05
1557527_at,-1.1016544834201154,1.8444085740258343e-06
1557626_at,-1.3758518388599614,8.217756177566462e-08
1557684_at,1.109041488078926,1.1382754183307071e-10
1557689_at,1.0777473315976982,0.0001636873630658131
1557701_s_at,1.0405289229926007,8.895733169857135e-12
1557803_at,-1.0159225486434647,0.003836008539504593
1557813_at,-1.4729549931488082,1.3183317005425991e-09
1557843_at,-1.9064846177034802,1.5851858269994918e-07
1557918_s_at,1.1522400356261993,1.4217396808881875e-13
1558034_s_at,1.9298972348588652,0.0015164424505843717
1558139_at,1.1051237407508898,1.4220006392154634e-07
1558152_at,1.5108367689778026,4.3181126242385646e-08
1558199_at,-1.0797198328309134,2.799943962168767e-05
1558217_at,1.01717192655522,0.0004639948777395683
1558236_at,-1.0210741573033717,3.426793824120438e-09
1558251_a_at,-1.0649591586736094,8.002312979689638e-08
1558447_at,-2.888730030145246,1.6130160270464831e-15
1558448_a_at,-2.3127542778843515,2.277958846682216e-15
1558511_s_at,1.0219764428610585,8.012720917903765e-13
1558569_at,1.6370921430528895,2.5602240314943433e-14
1558605_at,-1.199037281446973,2.3554342066675517e-05
1558686_at,-1.1154595724856113,1.9656058878732594e-05
1558703_at,-1.3113911455193197,4.2645441788823216e-08
1558801_at,1.2187738394080583,7.298767629194472e-10
1558828_s_at,-1.0125126774458764,8.632773532544e-05
1558996_at,-1.4472610112359554,1.0824638218316787e-16
1559005_s_at,1.025380709783502,1.3468760384880245e-06
1559051_s_at,1.6026050657714452,2.0499577719569313e-16
1559078_at,3.8545311674431355,1.774387962918011e-23
1559258_a_at,4.007204220334337,2.0706931637248436e-27
1559394_a_at,1.0747485475472724,3.999169237513133e-09
1559827_at,1.3123566812825427,2.089832293432258e-07
1559883_s_at,1.2688317429432718,3.986231963659444e-07
1560527_at,2.9187518827075913,7.3834250387670075e-16
1560703_at,-1.2349421485338445,1.380225677720695e-06
1560741_at,-1.46537704850644,1.2583845581466232e-08
1560813_at,-1.4474429734173744,2.9775922676724015e-07
1560850_at,-1.5874156590846806,2.125346717433461e-06
1561155_at,-1.2004459358728408,1.2036690695841592e-06
1561166_a_at,-1.6323095258975062,1.7270898869011068e-19
1561690_at,-1.4445165387777466,1.080536541394632e-12
1561817_at,-1.9459519676623733,1.2690259013689623e-05
1562235_s_at,-1.8440451685393278,2.5151855145180906e-12
1562265_at,-1.0793998821594957,2.7836223811658656e-12
1562497_at,-1.1109310824883512,6.413810149243721e-08
1562608_at,-1.2756467607563713,6.141624502952188e-09
1562821_a_at,-1.5202171444231292,0.001735323418752092
1563010_at,1.6645997889832826,6.887796320739468e-12
1563120_at,1.3208675089065491,7.357272348610095e-06
1564064_a_at,1.3905226801863515,1.0304633453555857e-06
1564204_at,-1.051892652781584,7.402811080698195e-05
1564248_at,-1.0638226637434913,1.8681998792318685e-06
1564307_a_at,2.291900602904906,3.8630003591936006e-14
1564358_at,-1.5823806138668126,2.825115853993523e-07
1564651_at,1.151546779939709,7.674835697175997e-13
1565598_at,-1.2287936941627846,2.6924310759209273e-15
1566079_at,-1.5767331981364734,8.60074520366351e-12
1566342_at,1.0572322088243347,3.0871788891745916e-08
1566442_at,-2.07107011235955,1.3885799914029127e-11
1566472_s_at,-1.4022013976431902,3.723922967008801e-13
1566880_at,-2.806961751164703,2.7356883240322913e-11
1567101_at,-1.3332533981912849,2.979430167975895e-07
1567997_x_at,-2.4208687804878064,4.1693904592611956e-08
1568619_s_at,-1.0186988764044944,6.2132866073120495e-09
1568765_at,-1.6583571142778828,3.929848922330559e-06
1568868_at,1.077755700191834,1.3566806554695444e-07
1568997_at,1.000928936694985,2.3507375742754896e-14
1569030_s_at,1.412833384488902,9.585369213015518e-15
1569040_s_at,1.2111512112907636,2.1906993626683604e-05
1569208_a_at,-1.482738736640175,8.865970086101757e-08
1569312_at,1.0420821731981356,3.650367856919051e-06
1569362_at,-1.2543461770348054,3.85983410506109e-05
1569453_a_at,-1.987824927377364,2.4317755749681712e-09
1569540_at,-1.0687456618251563,1.962691502062446e-09
1569607_s_at,-1.7359206037270498,1.3685384819403712e-06
1569788_at,1.4790852918607835,5.099356280700416e-10
1569867_at,-1.7933735352151277,6.362422551048333e-14
1569868_s_at,-1.5516525431625094,1.5431201667292582e-12
1569872_a_at,1.7977342285557683,2.6921240383863465e-10
1570566_at,-1.5097469827349972,1.6246898814276763e-09
200039_s_at,1.047931586736091,1.5477545963566506e-16
200052_s_at,1.2208408906549781,2.1837657698735267e-18
200607_s_at,1.2183103836667577,2.1020905654341753e-10
200618_at,-1.1614320087695251,1.151300327517792e-09
200628_s_at,1.1804996382570572,1.1342278778156922e-07
200629_at,1.1269570676897782,3.314373950616574e-07
200632_s_at,1.6293973225541247,1.1928302475704086e-08
200670_at,-2.309941803233766,2.750904850832797e-29
200783_s_at,1.6950930282269132,1.5859154635028866e-17
200785_s_at,-1.0546129131268849,2.7322274579431454e-10
200790_at,1.9072343600986557,6.614708323566482e-15
200795_at,-1.596137807618529,3.025527441032658e-12
200796_s_at,1.0017144587558224,0.0007805561096444906
200810_s_at,-1.295903705124692,4.404883894979844e-17
200811_at,-1.3801905453548917,3.191035058770349e-16
200815_s_at,1.0826340641271575,1.8438132871354285e-13
200822_x_at,1.0071979720471358,1.0953307831661528e-13
200824_at,1.8962435105508373,9.51195582446505e-14
200827_at,1.0496494601260622,3.8157572204994794e-12
200832_s_at,-1.0614128226911497,1.681686364062768e-05
200841_s_at,1.321923727048505,2.038825821136415e-07
200862_at,-1.6010151137297886,1.8500446656361136e-08
200934_at,1.5344505453548933,2.7568924179044626e-33
201014_s_at,1.1323037873389978,6.356981714905506e-11
201030_x_at,2.1637600822143046,9.033378634073118e-20
201037_at,1.4594858783228286,5.486715890094032e-07
201041_s_at,-1.3399939353247454,2.8296212579469588e-08
201069_at,-1.4955657824061372,6.103110634357115e-08
201080_at,-1.1604911455193232,1.3295053535008474e-06
201087_at,-1.0202627075911206,2.1032535020645822e-13
201088_at,1.0074422225267181,1.0588556139431308e-09
201108_s_at,-1.533686634694436,1.090051401392414e-08
201109_s_at,-1.3761246560701554,3.9014747019443214e-07
201110_s_at,-1.0332240010961904,1.3898272733571912e-05
201116_s_at,-2.396338254316251,2.1220860545696065e-14
201117_s_at,-2.121060770073993,1.1823817183709184e-14
201123_s_at,1.0471898657166339,0.004535483486323736
201124_at,-2.6570886626473,1.4858091741155712e-18
201125_s_at,-1.5031585859139494,6.17006024409531e-18
201147_s_at,-1.7218474294327208,1.0447354082387435e-08
201148_s_at,-1.5897438174842415,1.4856951409039684e-09
201149_s_at,-1.7860891696355177,3.0028511681897436e-07
201150_s_at,-1.939530468621541,8.118608610637058e-13
201160_s_at,1.1543834530008237,6.491425001174701e-12
201161_s_at,1.4759930967388364,1.9801862341998826e-13
201169_s_at,-1.449776503151548,1.728606388878631e-06
201170_s_at,-1.3224769279254573,1.2847821096797947e-13
201185_at,-2.142568328309128,1.182747018655495e-14
201195_s_at,2.504821186626474,5.928224155747355e-11
201196_s_at,1.8479329268292686,2.736002369289807e-18
201197_at,1.3289155659084688,1.5103317622267986e-20
201207_at,-1.02410362839134,1.5247533500320665e-08
201236_s_at,-1.4653105535763196,3.0656468542496036e-07
201250_s_at,1.1019937407508902,6.885245434893098e-08
201262_s_at,-1.0012767086873122,8.005870327720715e-06
201278_at,-1.0044398355713895,1.8456643329084096e-07
201291_s_at,1.874089323102222,2.0249810692201819e-07
201292_at,1.932019778021374,1.914683759921762e-07
201294_s_at,-1.0020117593861348,1.151687851649186e-06
201311_s_at,-1.4316398821594944,7.636793158517497e-10
201312_s_at,-1.2340724856124972,2.3349458139063385e-13
201349_at,-1.5933641710057547,9.569080760955934e-12
201360_at,-1.0975913537955613,9.624397960703139e-10
201387_s_at,2.5999665935872844,5.467694882573339e-10
201388_at,-1.0798479364209372,0.0012239659240050648
201397_at,2.4945089010687855,3.8806527286933887e-14
201407_s_at,1.0635274760208269,1.1489602995653706e-17
201413_at,-1.1248959057275965,2.380526642721791e-11
201427_s_at,-1.7714559166895043,5.0748045720279096e-14
201431_s_at,-1.2476425404220315,5.545319499054072e-06
201433_s_at,1.090023340641272,1.371999368064607e-11
201438_at,-1.3965918087147156,1.5452215877763542e-11
201467_s_at,-1.1961821375719373,0.0007099135557202243
201468_s_at,-1.691887939161413,2.9799594807198558e-08
201474_s_at,-1.4523145245272673,1.0910626993017298e-10
201478_s_at,1.1700044286105769,6.964032920936676e-17
201479_at,1.1104263907919982,2.9763826653304813e-16
201487_at,1.1008169690326124,8.699888764926845e-07
201508_at,-1.7768252534941062,5.306122586501664e-13
201522_x_at,-1.144246530556316,1.1561204840088188e-09
201525_at,-3.290445881063304,1.1251513775016256e-09
201534_s_at,-1.029858755823513,2.420325124792287e-14
201535_at,-1.522837215675528,4.856159271094318e-18
201540_at,-1.2915682597972058,1.3768580296340437e-05
201555_at,1.1774426500411064,2.410880751773157e-18
201559_s_at,1.1359220855028749,0.00012672342512595568
201562_s_at,-1.258033529734175,1.9565716893060535e-06
201563_at,-1.085941241436009,1.4113716721197602e-06
201564_s_at,1.5030377418470824,2.268360541609126e-13
201587_s_at,1.1346556371608667,1.0389953254527498e-12
201596_x_at,-2.07247110167169,5.617083400724042e-23
201621_at,-1.150480808440669,2.5129611939139516e-09
201631_s_at,-1.0468700137023834,2.923975656388095e-07
201645_at,-1.388027500685121,1.1907204274252762e-05
201650_at,-1.198876727870653,0.0003429875046132826
201663_s_at,1.6323116305837218,2.074343527779794e-14
201664_at,1.0843615593313256,4.764002556369439e-13
201681_s_at,-1.0808218278980544,1.1527003328484968e-10
201691_s_at,-1.2741659824609473,6.425817076480403e-06
201693_s_at,-1.3092442148533836,0.0005487718842818523
201695_s_at,1.1897235406960815,6.078742575104998e-07
